net,length_um
net1109,325.34µm
net854,325.09µm
_09799_,324.915µm
net743,324.81µm
net818,324.78µm
net526,324.61µm
net771,324.61µm
net2173,324.265µm
net981,323.775µm
net2253,323.48µm
net857,323.11µm
net1715,322.885µm
net887,322.62µm
net575,321.615µm
net258,321.13µm
net1455,320.135µm
net733,320µm
net1736,319.58µm
net447,319.44µm
net414,319.28µm
net720,319.23µm
net650,319.14µm
net803,319.08µm
net755,318.62µm
net1868,318.61µm
net519,318.59µm
net1690,318.435µm
net1566,317.865µm
net2724,317.86µm
net1492,317.71µm
net1988,317.63µm
_05190_,317.62µm
net1979,317.52µm
_09751_,317.45µm
net641,317.43µm
net2315,317.335µm
net296,317.325µm
net1949,316.79µm
_05453_,316.57µm
net2171,316.53µm
net618,316.43µm
net2189,315.92µm
net1229,315.87µm
net2174,315.82µm
_09676_,315.67µm
net1954,315.435µm
net1917,315.015µm
_09617_,314.61µm
net827,314.53µm
net461,314.38µm
net1994,314.21µm
net905,314.07µm
net1091,314.03µm
net1698,314.02µm
net1978,313.82µm
net933,313.64µm
net502,313.28µm
_09670_,313.11µm
net254,313.1µm
net365,312.205µm
net262,311.89µm
net2086,311.52µm
net1598,311.49µm
net184,311.485µm
net655,311.4µm
net877,311.09µm
net747,310.785µm
net1213,310.78µm
net1462,310.49µm
net309,310.37µm
net1340,309.255µm
net1700,309.19µm
net1053,308.95µm
net272,308.79µm
net2235,308.32µm
_10564_,307.94µm
_05213_,307.72µm
net323,307.54µm
net1082,307.13µm
net392,307.11µm
net2154,307.07µm
net435,307.06µm
net879,306.91µm
net659,306.58µm
net269,306.56µm
net2247,306.325µm
net2125,306.14µm
net2822,305.9µm
net314,305.845µm
net1371,305.535µm
net2267,305.36µm
net1640,305.34µm
_07773_,305.04µm
